ID,Name,Category,Path
aws-route-53,aws-route-53,aws,aws/aws-route-53.svg
aws-s3-on-outposts,aws-s3-on-outposts,aws,aws/aws-s3-on-outposts.svg
aws-sagemaker-ground-truth,aws-sagemaker-ground-truth,aws,aws/aws-sagemaker-ground-truth.svg
aws-sagemaker-studio-lab,aws-sagemaker-studio-lab,aws,aws/aws-sagemaker-studio-lab.svg
aws-sagemaker,aws-sagemaker,aws,aws/aws-sagemaker.svg
aws-satellite,aws-satellite,aws,aws/aws-satellite.svg
aws-savings-plans,aws-savings-plans,aws,aws/aws-savings-plans.svg
aws-secrets-manager,aws-secrets-manager,aws,aws/aws-secrets-manager.svg
aws-security-hub,aws-security-hub,aws,aws/aws-security-hub.svg
aws-security-identity-compliance,aws-security-identity-compliance,aws,aws/aws-security-identity-compliance.svg
aws-server-migration-service,aws-server-migration-service,aws,aws/aws-server-migration-service.svg
aws-serverless-application-repository,aws-serverless-application-repository,aws,aws/aws-serverless-application-repository.svg
aws-serverless,aws-serverless,aws,aws/aws-serverless.svg
aws-service-catalog,aws-service-catalog,aws,aws/aws-service-catalog.svg
aws-shield,aws-shield,aws,aws/aws-shield.svg
aws-signer,aws-signer,aws,aws/aws-signer.svg
aws-simple-email-service,aws-simple-email-service,aws,aws/aws-simple-email-service.svg
aws-simple-notification-service,aws-simple-notification-service,aws,aws/aws-simple-notification-service.svg
aws-simple-queue-service,aws-simple-queue-service,aws,aws/aws-simple-queue-service.svg
aws-simple-storage-service-glacier,aws-simple-storage-service-glacier,aws,aws/aws-simple-storage-service-glacier.svg
aws-simple-storage-service,aws-simple-storage-service,aws,aws/aws-simple-storage-service.svg
aws-site-to-site-vpn,aws-site-to-site-vpn,aws,aws/aws-site-to-site-vpn.svg
aws-snowball-edge,aws-snowball-edge,aws,aws/aws-snowball-edge.svg
aws-snowball,aws-snowball,aws,aws/aws-snowball.svg
aws-snowcone,aws-snowcone,aws,aws/aws-snowcone.svg
aws-snowmobile,aws-snowmobile,aws,aws/aws-snowmobile.svg
aws-step-functions,aws-step-functions,aws,aws/aws-step-functions.svg
aws-storage-gateway,aws-storage-gateway,aws,aws/aws-storage-gateway.svg
aws-storage,aws-storage,aws,aws/aws-storage.svg
aws-sumerian,aws-sumerian,aws,aws/aws-sumerian.svg
aws-support,aws-support,aws,aws/aws-support.svg
aws-systems-manager-incident-manager,aws-systems-manager-incident-manager,aws,aws/aws-systems-manager-incident-manager.svg
aws-systems-manager,aws-systems-manager,aws,aws/aws-systems-manager.svg
aws-tensorflow-on-aws,aws-tensorflow-on-aws,aws,aws/aws-tensorflow-on-aws.svg
aws-textract,aws-textract,aws,aws/aws-textract.svg
aws-thinkbox-deadline,aws-thinkbox-deadline,aws,aws/aws-thinkbox-deadline.svg
aws-thinkbox-frost,aws-thinkbox-frost,aws,aws/aws-thinkbox-frost.svg
aws-thinkbox-krakatoa,aws-thinkbox-krakatoa,aws,aws/aws-thinkbox-krakatoa.svg
aws-thinkbox-sequoia,aws-thinkbox-sequoia,aws,aws/aws-thinkbox-sequoia.svg
aws-thinkbox-stoke,aws-thinkbox-stoke,aws,aws/aws-thinkbox-stoke.svg
aws-thinkbox-xmesh,aws-thinkbox-xmesh,aws,aws/aws-thinkbox-xmesh.svg
aws-timestream,aws-timestream,aws,aws/aws-timestream.svg
aws-tools-and-sdks,aws-tools-and-sdks,aws,aws/aws-tools-and-sdks.svg
aws-torchserve,aws-torchserve,aws,aws/aws-torchserve.svg
aws-training-certification,aws-training-certification,aws,aws/aws-training-certification.svg
aws-transcribe,aws-transcribe,aws,aws/aws-transcribe.svg
aws-transfer-family,aws-transfer-family,aws,aws/aws-transfer-family.svg
aws-transit-gateway,aws-transit-gateway,aws,aws/aws-transit-gateway.svg
aws-translate,aws-translate,aws,aws/aws-translate.svg
aws-trusted-advisor,aws-trusted-advisor,aws,aws/aws-trusted-advisor.svg
aws-vmware-cloud-on-aws,aws-vmware-cloud-on-aws,aws,aws/aws-vmware-cloud-on-aws.svg
aws-vr-ar,aws-vr-ar,aws,aws/aws-vr-ar.svg
aws-waf,aws-waf,aws,aws/aws-waf.svg
aws-wavelength,aws-wavelength,aws,aws/aws-wavelength.svg
aws-well-architected-tool,aws-well-architected-tool,aws,aws/aws-well-architected-tool.svg
aws-workdocs-sdk,aws-workdocs-sdk,aws,aws/aws-workdocs-sdk.svg
aws-workdocs,aws-workdocs,aws,aws/aws-workdocs.svg
aws-worklink,aws-worklink,aws,aws/aws-worklink.svg
aws-workmail,aws-workmail,aws,aws/aws-workmail.svg
aws-workspaces-web,aws-workspaces-web,aws,aws/aws-workspaces-web.svg
aws-workspaces,aws-workspaces,aws,aws/aws-workspaces.svg
aws-x-ray,aws-x-ray,aws,aws/aws-x-ray.svg
_gcp_,_gcp_,gcp,gcp/_gcp_.svg
gcp-access-context-manager,gcp-access-context-manager,gcp,gcp/gcp-access-context-manager.svg
gcp-administration,gcp-administration,gcp,gcp/gcp-administration.svg
gcp-advanced-agent-modeling,gcp-advanced-agent-modeling,gcp,gcp/gcp-advanced-agent-modeling.svg
gcp-advanced-solutions-lab,gcp-advanced-solutions-lab,gcp,gcp/gcp-advanced-solutions-lab.svg
gcp-agent-assist,gcp-agent-assist,gcp,gcp/gcp-agent-assist.svg
gcp-ai-hub,gcp-ai-hub,gcp,gcp/gcp-ai-hub.svg
gcp-ai-platform-unified,gcp-ai-platform-unified,gcp,gcp/gcp-ai-platform-unified.svg
gcp-ai-platform,gcp-ai-platform,gcp,gcp/gcp-ai-platform.svg
gcp-analytics-hub,gcp-analytics-hub,gcp,gcp/gcp-analytics-hub.svg
gcp-anthos-config-management,gcp-anthos-config-management,gcp,gcp/gcp-anthos-config-management.svg
gcp-anthos-service-mesh,gcp-anthos-service-mesh,gcp,gcp/gcp-anthos-service-mesh.svg
gcp-anthos,gcp-anthos,gcp,gcp/gcp-anthos.svg
gcp-api-analytics,gcp-api-analytics,gcp,gcp/gcp-api-analytics.svg
gcp-api-monetization,gcp-api-monetization,gcp,gcp/gcp-api-monetization.svg
gcp-api,gcp-api,gcp,gcp/gcp-api.svg
gcp-apigee-api-platform,gcp-apigee-api-platform,gcp,gcp/gcp-apigee-api-platform.svg
gcp-apigee-sense,gcp-apigee-sense,gcp,gcp/gcp-apigee-sense.svg
gcp-app-engine,gcp-app-engine,gcp,gcp/gcp-app-engine.svg
gcp-artifact-registry,gcp-artifact-registry,gcp,gcp/gcp-artifact-registry.svg
